1;ACCESSIBILITY_CASE_PROTO_ID;REQUIREMENT_ID;SUBCONDITION_ID;REST_VARIABLE_ID;CONDITION_TYPE;REST_VALUE;ACCESSIBILITY_CASE_NAMES;ACCESSIBILITY_CASE_TITLE;BITS_QRS;REQUIREMENT_TEXT;EXPLANATION_WHY_NOT;EFFORT_TO_FIX;SHORTCOMING_FI;SHORTCOMING_SV;SHORTCOMING_EN
  [60] SERVICE_POINT.type <> nature_facility;1;3;5;60;I;nature_facility;;;QS:Q:Q;Saaressa sijaitseva luontoalue on esteettömyyden kannalta hankala, koska sinne tarvitaan venematka (siihen Esteettömyyssovellus ei tarkemmin pureudu).;Saaressa sijaitseva kohde vaatii vene- tai lauttamatkan eikä siksi sovellu helposti pyörätuolille.;BIG;Saaressa sijaitseva kohde vaatii vene- tai lauttamatkan eikä siksi sovellu helposti pyörätuolille.;Resmålet på ön kräver båt- eller färjetur och är därför inte lättillgängligt för rullstolsburna.;The site on the island requires a boat or ferry trip and is therefore not easily accessible for wheelchair users.
  OR;;;;;;;;;;;;;;;
  [644] NATURE_SITE.located_on_island = false;1;3;6;644;E;false;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [60] SERVICE_POINT.type <> nature_facility;1;4;7;60;I;nature_facility;;;RS:Q:;Luontoalueen pysäköintialueella pitää olla vähintään yksi leveä esteetön ei-kalteva autopaikka, jonka alusta on tasainen.;Esteettömiä autopaikkoja ei ole.;BIG;Esteettömiä autopaikkoja ei ole.;Inga p-platser för personer med rörelsehinder.;No parking places for persons with a disability.
  OR;;;;;;;;;;;;;;;
  [644] NATURE_SITE.located_on_island = true;1;4;8;644;E;true;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  (;;;;;;;;;;;;;;;
    [1] OUTSIDE.ACCESSIBLE_PARKING_SPACE.count <> 0;1;4;9;1;I;0;;;;;;;;;
    AND;;;;;;;;;;;;;;;
    [3] OUTSIDE.ACCESSIBLE_PARKING_SPACE.width = at_least_3600mm;1;4;9;3;E;at_least_3600mm;;;;;Esteettömiksi merkittyjä autopaikkoja on, mutta ne eivät ole tarpeeksi leveitä.;BIG;Esteettömiksi merkittyjä autopaikkoja on, mutta ne eivät ole tarpeeksi leveitä.;Det finns p-platser som har angetts som tillgängliga, men de är inte tillräckligt breda.;There are parking spaces marked as accessible but they are not sufficiently wide.
    AND;;;;;;;;;;;;;;;
    [629] OUTSIDE.ACCESSIBLE_PARKING_SPACE.side_slope = less_than_2_percent;1;4;9;629;E;less_than_2_percent;;;;;Esteettömiksi merkittyjä autopaikkoja on, mutta alusta on kalteva.;BIG;Esteettömiksi merkittyjä autopaikkoja on, mutta alusta on kalteva.;Det finns p-platser som har angetts som tillgängliga, men de lutar i sidled.;There are parking spaces marked as accessible but they have slope to the side.
    AND;;;;;;;;;;;;;;;
    [628] OUTSIDE.ACCESSIBLE_PARKING_SPACE.surface = smooth;1;4;9;628;E;smooth;;;;;Esteettömiksi merkittyjä autopaikkoja on, mutta alusta ei ole tasainen.;BIG;Esteettömiksi merkittyjä autopaikkoja on, mutta alusta ei ole tasainen.;Det finns p-platser som har angetts som tillgängliga, men parkeringsområdet är inte jämnt.;There are parking spaces marked as accessible but the parking area is not even.
  );;;;;;;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [60] SERVICE_POINT.type <> nature_facility;1;5;10;60;I;nature_facility;;;QRS:Q:;Pysäköintialueen lähellä (etäisyys enintään 50 metriä) pitää olla luontoalueen opastaulu, jossa on kartta, ja jonka luokse vievä kulkureitti pitää olla tasainen ja riittävän leveä.;Opastaulua ei ole.;BIG;Luontoalueesta kertovaa opastaulua ei ole.;Det finns ingen informationstavla om naturområdet.;There is no information board about the nature area.
  OR;;;;;;;;;;;;;;;
  (;;;;;;;;;;;;;;;
    [630] NATURE_SITE.INFORMATION_BOARD.existing = true;1;5;11;630;E;true;;;;;;;;;
    AND;;;;;;;;;;;;;;;
    [632] NATURE_SITE.INFORMATION_BOARD.distance_from_parking_area <> between_50_100m;1;5;11;632;I;between_50_100m;;;;;Opastaulu on yli 50 metrin etäisyydellä.;BIG;Luontoalueesta kertova opastaulu on yli 50 metrin etäisyydellä pysäköintialueelta.;Informationstavlan om naturområdet finns över 50 meter från parkeringsområdet.;The information board about the nature area is more than 50 meters from the parking area.
    AND;;;;;;;;;;;;;;;
    [632] NATURE_SITE.INFORMATION_BOARD.distance_from_parking_area <> between_100_200m;1;5;11;632;I;between_100_200m;;;;;Opastaulu on yli 50 metrin etäisyydellä.;BIG;Luontoalueesta kertova opastaulu on yli 50 metrin etäisyydellä pysäköintialueelta.;Informationstavlan om naturområdet finns över 50 meter från parkeringsområdet.;The information board about the nature area is more than 50 meters from the parking area.
    AND;;;;;;;;;;;;;;;
    [632] NATURE_SITE.INFORMATION_BOARD.distance_from_parking_area <> between_200_500m;1;5;11;632;I;between_200_500m;;;;;Opastaulu on yli 50 metrin etäisyydellä.;BIG;Luontoalueesta kertova opastaulu on yli 50 metrin etäisyydellä pysäköintialueelta.;Informationstavlan om naturområdet finns över 50 meter från parkeringsområdet.;The information board about the nature area is more than 50 meters from the parking area.
    AND;;;;;;;;;;;;;;;
    [632] NATURE_SITE.INFORMATION_BOARD.distance_from_parking_area <> more_than_500m;1;5;11;632;I;more_than_500m;;;;;Opastaulu on yli 50 metrin etäisyydellä.;BIG;Luontoalueesta kertova opastaulu on yli 50 metrin etäisyydellä pysäköintialueelta.;Informationstavlan om naturområdet finns över 50 meter från parkeringsområdet.;The information board about the nature area is more than 50 meters from the parking area.
    AND;;;;;;;;;;;;;;;
    [636] NATURE_SITE.INFORMATION_BOARD.ROUTE.surface = smooth;1;5;11;636;E;smooth;;;;;Kulkureitti ei ole tasainen.;BIG;Kulkureitti luontoalueesta kertovalle opastaululle ei ole tasainen.;Rutten till informationstavlan om naturområdet är inte jämn.;The route to the information board about the nature area is not even.
    AND;;;;;;;;;;;;;;;
    [637] NATURE_SITE.INFORMATION_BOARD.ROUTE.width = sufficiently_wide;1;5;11;637;E;sufficiently_wide;;;;;Kulkureitti ei ole tarpeeksi leveä.;BIG;Kulkureitti luontoalueesta kertovalle opastaululle ei ole tarpeeksi leveä.;Rutten till informationstavlan om naturområdet är inte tillräckligt bred.;The route to the information board about the nature area is not sufficiently wide.
    AND;;;;;;;;;;;;;;;
    [641] NATURE_SITE.INFORMATION_BOARD.MAP.existing = true;1;5;11;641;E;true;;;;;Opastaulussa ei ole karttaa.;BIG;Luontoalueesta kertovassa opastaulussa ei ole karttaa.;Det finns ingen karta på informationstavlan om naturområdet.;There is no map on the information board about the nature area.
  );;;;;;;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [500] SERVICE_POINT.general_type <> indoor_facility;1;6;12;500;I;indoor_facility;;;RS::Q;Saattoliikenteen pysähtymispaikka pitää olla lähellä sisäänkäyntiä (etäisyys enintään 5 m).;Saattoliikenne ei voi pysähtyä sisäänkäynnin eteen.;BIG;Saattoliikenne ei voi pysähtyä #2isäänkäynnin#3 eteen.;Angöringstafiken kan inte stoppa framför #2ngången#3.;The pick-up and drop-off traffic cannot stop in front of the #2ntrance#3.
  OR;;;;;;;;;;;;;;;
  [5] OUTSIDE.01.PICKUP_AND_DROPOFF_AREA.near_entrance = true;1;6;13;5;E;true;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [60] SERVICE_POINT.type <> outdoor_sport_facility;1;7;14;60;I;outdoor_sport_facility;;;RS::Q;Saattoliikenteen pysähtymispaikka pitää olla lähellä ulkoliikuntapaikkaa (etäisyys enintään 20 m).;Saattoliikenteen pysähtymispaikka on kauempana kuin 20 m ulkoliikuntapaikasta.;BIG;Saattoliikenteen pysähtymispaikka on kauempana kuin 20 m ulkoliikuntapaikasta.;Angöringstafiken kan inte stoppa i närheten av utomhusstället (distans mer än 20 m).;The pick-up and drop-off traffic cannot stop near the outdoor sport facility (distance over 20 m).
  OR;;;;;;;;;;;;;;;
  [503] OUTSIDE.PICKUP_AND_DROPOFF_AREA.distance_from_outdoor_sport_facility = less_than_20m;1;7;15;503;E;less_than_20m;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [60] SERVICE_POINT.type <> nature_facility;1;8;16;60;I;nature_facility;;;RS::Q;Saattoliikenteen pysähtymispaikka pitää olla lähellä luontoalueen opastaulua (etäisyys enintään 20 m).;Saattoliikenteen pysähtymispaikka on kauempana kuin 20 m opastaulusta.;BIG;Saattoliikenteen pysähtymispaikka on kauempana kuin 20 m luontoalueen opastaulusta.;Angöringstafiken kan inte stoppa i närheten av informationstavlan om naturområdet (distans mer än 20 m).;The pick-up and drop-off traffic cannot stop near the information board about the nature area (distance over 20 m).
  OR;;;;;;;;;;;;;;;
  [644] NATURE_SITE.located_on_island = true;1;8;17;644;E;true;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [633] NATURE_SITE.INFORMATION_BOARD.distance_from_pickup_and_dropoff_area = less_than_10m;1;8;18;633;E;less_than_10m;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [633] NATURE_SITE.INFORMATION_BOARD.distance_from_pickup_and_dropoff_area = between_10_20m;1;8;19;633;E;between_10_20m;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [500] SERVICE_POINT.general_type <> indoor_facility;1;9;20;500;I;indoor_facility;;;RS:Q:;Jos pysäköintihallin esteettömät autopaikat eivät ole katutasossa tai samassa kerroksessa kuin toimipiste, tarjolla pitää olla hissi, jonka ovi ei ole raskas ja jonka edessä ja sisällä on tilaa pyörätuolille.;Pysäköintihallissa ei ole hissiä, vaikka reitti esteettömiltä autopaikoilta toimipisteeseen vaatii liikkumista kerrosten välillä.;BIG;Pysäköintihallissa ei ole hissiä, vaikka reitti esteettömiltä autopaikoilta toimipisteeseen vaatii liikkumista kerrosten välillä.;Det finns ingen hiss i parkeringshallen, trots att man måste röra sig mellan våningsplanen.;The parking hall does not have a lift although access between floors is required.
  OR;;;;;;;;;;;;;;;
  [1] OUTSIDE.01.ACCESSIBLE_PARKING_SPACE.count = 0;1;9;21;1;E;0;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [2] OUTSIDE.01.ACCESSIBLE_PARKING_SPACE.location = outdoors;1;9;22;2;E;outdoors;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [2] OUTSIDE.01.ACCESSIBLE_PARKING_SPACE.location = canopy;1;9;23;2;E;canopy;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [7] PARKING_HALL.01.same_floor_as_entrance_no_need_for_lift = true;1;9;24;7;E;true;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  (;;;;;;;;;;;;;;;
    [8] PARKING_HALL.01.LIFT.existing = true;1;9;25;8;E;true;;;;;;;;;
    AND;;;;;;;;;;;;;;;
    [11] PARKING_HALL.01.sufficiently_room_for_wheelchair_inside = true;1;9;25;11;E;true;;;;;Hissin sisällä on liian vähän tilaa pyörätuolille.;BIG;Pysäköintihallissa on hissi, jonka sisällä on liian vähän tilaa pyörätuolille.;I parkeringshallen finns en hiss som är för trång för en rullstol.;The parking hall has a lift with too little room for a wheelchair inside.
    AND;;;;;;;;;;;;;;;
    [12] PARKING_HALL.01.sufficiently_room_for_wheelchair_in_front = true;1;9;25;12;E;true;;;;;Hissin edessä on liian vähän tilaa pyörätuolille.;BIG;Pysäköintihallissa on hissi, jonka edessä on liian vähän tilaa pyörätuolille.;I parkeringshallen finns en hiss, framför vilken det är för trångt för en rullstol.;The parking hall has a lift with too little room for a wheelchair in front.
    AND;;;;;;;;;;;;;;;
    [15] PARKING_HALL.01.door_opening_method <> is_heavy;1;9;25;15;I;is_heavy;;;;;Hissin ovi on raskas.;BIG;Pysäköintihallissa on hissi, jonka ovi on raskas.;I parkeringshallen finns en hiss med en tung dörr.;The parking hall has a lift with a heavy door.
  );;;;;;;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [500] SERVICE_POINT.general_type <> indoor_facility;1;10;26;500;I;indoor_facility;;;QRS:Q:Q;Kulkureitti sisäänkäynnille pitää olla tasainen.;Kulkureitti ei ole tasainen.;SMALL;Kulkureitti #2isäänkäynnille#3 ei ole tasainen.;Rutten till #2ngången#3 är inte jämn.;The route to the #2ntrance#3 is not even.
  OR;;;;;;;;;;;;;;;
  [17] ROUTE_TO_ENTRANCE.01.surface = smooth;1;10;27;17;E;smooth;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [60] SERVICE_POINT.type <> outdoor_sport_facility;1;11;28;60;I;outdoor_sport_facility;;;QRS:Q:Q;Kulkureitti ulkoliikuntapaikkaan pitää olla tasainen.;Kulkureitti ei ole tasainen.;SMALL;Kulkureitti ulkoliikuntapaikkaan ei ole tasainen.;Rutten till utomhusmotionsställe är inte jämn.;The route to the outdoor sport facility is not even.
  OR;;;;;;;;;;;;;;;
  [507] ROUTE_TO_OUTDOOR_SPORT_FACILITY.surface = smooth;1;11;29;507;E;smooth;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [60] SERVICE_POINT.type <> nature_facility;1;12;30;60;I;nature_facility;;;QRS:Q:Q;Luontoalueen kulkureitti pitää olla tasainen koko matkalta.;Kulkureitti ei ole tasainen koko matkalta.;BIG;Kulkureitti ei ole tasainen koko matkalta.;Rutten är inte jämn hela vägen.;The route is not even the entire way.
  OR;;;;;;;;;;;;;;;
  [647] NATURE_SITE.ROUTE.surface = smooth;1;12;31;647;E;smooth;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [500] SERVICE_POINT.general_type <> indoor_facility;1;13;32;500;I;indoor_facility;;;QRS:Q:Q;Kulkureitti sisäänkäynnille pitää olla tarpeeksi leveä (vapaa leveys 1,5 metriä).;Kulkureitti ei ole tarpeeksi leveä.;BIG;Kulkureitti #2isäänkäynnille#3 ei ole tarpeeksi leveä.;Rutten till #2ngången#3 är inte tillräckligt bred.;The route to the #2ntrance#3 is not sufficiently wide.
  OR;;;;;;;;;;;;;;;
  [18] ROUTE_TO_ENTRANCE.01.width = sufficiently_wide;1;13;33;18;E;sufficiently_wide;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [60] SERVICE_POINT.type <> outdoor_sport_facility;1;14;34;60;I;outdoor_sport_facility;;;QRS:Q:Q;Kulkureitti ulkoliikuntapaikkaan pitää olla tarpeeksi leveä (vapaa leveys 1,5 metriä).;Kulkureitti ei ole tarpeeksi leveä.;BIG;Kulkureitti ulkoliikuntapaikkaan ei ole tarpeeksi leveä.;Rutten till utomhusmotionsställe är inte tillräckligt bred.;The route to the outdoor sport facility is not sufficiently wide.
  OR;;;;;;;;;;;;;;;
  [508] ROUTE_TO_OUTDOOR_SPORT_FACILITY.width = sufficiently_wide;1;14;35;508;E;sufficiently_wide;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [60] SERVICE_POINT.type <> nature_facility;1;15;36;60;I;nature_facility;;;QRS:Q:Q;Luontoalueen kulkureitti pitää olla tarpeeksi leveä koko matkalta (vapaa leveys 1,5 metriä).;Kulkureitti ei ole tarpeeksi leveä koko matkalta.;BIG;Kulkureitti ei ole tarpeeksi leveä koko matkalta.;Rutten är inte tillräckligt bred hela vägen.;The route is not sufficiently wide the entire way.
  OR;;;;;;;;;;;;;;;
  [648] NATURE_SITE.ROUTE.width = sufficiently_wide;1;15;37;648;E;sufficiently_wide;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  (;;;;;;;;;;;;;;;
    [648] NATURE_SITE.ROUTE.width <> narrow;1;15;38;648;I;narrow;;;;;;;;;
    AND;;;;;;;;;;;;;;;
    [648] NATURE_SITE.ROUTE.width <> wide_but_steep_hills;1;15;38;648;I;wide_but_steep_hills;;;;;Kulkureitti on tarpeeksi leveä, mutta jyrkät mäet vaativat pyörätuolin käyttäjän avustajalta työntövoimaa.;BIG;Kulkureitti on tarpeeksi leveä, mutta jyrkät mäet vaativat pyörätuolin käyttäjän avustajalta työntövoimaa.;Rutten är tillräckligt bred, men de branta backarna kräver att rullstolsburnas assistent trycker på.;The route is wide enough, but the steep hills require pushing force from the wheelchair user's assistant.
    AND;;;;;;;;;;;;;;;
    [648] NATURE_SITE.ROUTE.width <> wide_but_difficult_terrain;1;15;38;648;I;wide_but_difficult_terrain;;;;;Hankalan maaston vuoksi kulkureitti ei sovellu pyörätuolille.;BIG;Hankalan maaston vuoksi kulkureitti ei sovellu pyörätuolille.;På grund av den svåra terrängen är leden inte lämplig för rullstolsburna.;Due to the difficult terrain, the trail is not suitable for wheelchair users.
  );;;;;;;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [500] SERVICE_POINT.general_type <> indoor_facility;1;16;39;500;I;indoor_facility;;;QRS:Q:Q;Kulkureitillä sisäänkäynnille ei saa olla jyrkkää mäkeä.;Kulkureitillä on jyrkkä mäki.;BIG;Kulkureitillä #2isäänkäynnille#3 on jyrkkä mäki.;På rutten till #2ngången#3 finns en brant backe.;The route to the #2ntrance#3 has a steep slope.
  OR;;;;;;;;;;;;;;;
  [22] ROUTE_TO_ENTRANCE.01.steep_slope = false;1;16;40;22;E;false;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [60] SERVICE_POINT.type <> outdoor_sport_facility;1;17;41;60;I;outdoor_sport_facility;;;QRS:Q:Q;Kulkureitillä ulkoliikuntapaikkaan ei saa olla jyrkkää mäkeä.;Kulkureitillä on jyrkkä mäki.;BIG;Kulkureitillä ulkoliikuntapaikkaan on jyrkkä mäki.;På rutten till utomhusmotionsställe finns en brant backe.;The route to the outdoor sport facility has a steep slope.
  OR;;;;;;;;;;;;;;;
  [510] ROUTE_TO_OUTDOOR_SPORT_FACILITY.steep_slope = false;1;17;42;510;E;false;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [60] SERVICE_POINT.type <> nature_facility;1;18;43;60;I;nature_facility;;;QRS:Q:Q;Luontoalueen kulkureitillä ei saa olla jyrkkää mäkeä eikä sivukaltevuutta.;Dummy virhe.;BIG;Dummy virhe.;;
  OR;;;;;;;;;;;;;;;
  (;;;;;;;;;;;;;;;
    [649] NATURE_SITE.ROUTE.steep_slope = false;1;18;44;649;E;false;;;;;Kulkureitillä on ainakin yksi jyrkkä mäki.;BIG;Kulkureitillä on ainakin yksi jyrkkä mäki.;På rutten finns minst en brant backe.;The route has at least one steep slope.
    AND;;;;;;;;;;;;;;;
    [650] NATURE_SITE.ROUTE.steep_side_slope = false;1;18;44;650;E;false;;;;;Kulkureitillä on sivukaltevia osia.;BIG;Kulkureitillä on sivukaltevia osia.;Rutten har delar som lutar i sidled.;The route has parts that slope sideways.
  );;;;;;;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [500] SERVICE_POINT.general_type <> indoor_facility;1;19;45;500;I;indoor_facility;;;QRS:Q:Q;Kulkureitillä sisäänkäynnille ei saa olla portaita mutta jos on, portaat pitää voida ohittaa joko tasonostimen tai pyörätuolinostimen avulla, tai loivaa luiskaa myöten, jossa on käsijohde vähintään toisella puolella.;Ainakin yksi porras on, mutta ei luiskaa.;BIG;Kulkureitillä #2isäänkäynnille#3 on porrasaskelmia, mutta ei luiskaa.;På rutten till #2ngången#3 finns minst ett trappsteg, men ingen ramp.;The route to the #2ntrance#3 has at least one step but no ramp.
  OR;;;;;;;;;;;;;;;
  [23] ROUTE_TO_ENTRANCE.01.STEPS.existing = false;1;19;46;23;E;false;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  (;;;;;;;;;;;;;;;
    [29] ROUTE_TO_ENTRANCE.01.RAMP.existing = true;1;19;47;29;E;true;;;;;;;;;
    AND;;;;;;;;;;;;;;;
    [31] ROUTE_TO_ENTRANCE.01.RAMP.steep = false;1;19;47;31;E;false;;;;;Ainakin yksi porras on, ja lisäksi luiska, mutta luiska on jyrkkä.;BIG;Kulkureitillä #2isäänkäynnille#3 on porrasaskelmia, ja lisäksi luiska, mutta luiska on jyrkkä.;På rutten till #2ngången#3 finns minst ett trappsteg och dessutom en ramp, men rampen är brant.;"The route to the #2ntrance#3 has at least one step; a ramp is available but the incline is steep."
    AND;;;;;;;;;;;;;;;
    [32] ROUTE_TO_ENTRANCE.01.RAMP.handrails <> no_handrails;1;19;47;32;I;no_handrails;;;;;Ainakin yksi porras on, ja lisäksi luiska, mutta luiskassa ei ole käsijohdetta.;BIG;Kulkureitillä #2isäänkäynnille#3 on porrasaskelmia, ja lisäksi luiska, mutta luiskassa ei ole käsijohdetta.;På rutten till #2ngången#3 finns minst ett trappsteg och dessutom en ramp, men rampen är inte försedd med räcke.;"The route to the #2ntrance#3 has at least one step; a ramp is available but with no handrail."
  );;;;;;;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [33] ROUTE_TO_ENTRANCE.01.level_lift = true;1;19;48;33;E;true;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [34] ROUTE_TO_ENTRANCE.01.wheelchair_lift = true;1;19;49;34;E;true;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [60] SERVICE_POINT.type <> outdoor_sport_facility;1;20;50;60;I;outdoor_sport_facility;;;QRS:Q:Q;Kulkureitillä ulkoliikuntapaikkaan ei saa olla portaita mutta jos on, portaat pitää voida ohittaa loivaa luiskaa myöten, jossa on käsijohde vähintään toisella puolella.;Ainakin yksi porras on, mutta ei luiskaa.;BIG;Kulkureitillä ulkoliikuntapaikkaan on porrasaskelmia, mutta ei luiskaa.;På rutten till utomhusmotionsställe finns minst ett trappsteg, men ingen ramp.;The route to the outdoor sport facility has at least one step but no ramp.
  OR;;;;;;;;;;;;;;;
  [511] ROUTE_TO_OUTDOOR_SPORT_FACILITY.STEPS.existing = false;1;20;51;511;E;false;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  (;;;;;;;;;;;;;;;
